Depth [L],t = 0.025694444,t = 0.060416667,t = 0.097222222,t = 0.129166667,t = 0.157638889
40.0,4.056586087756733,4.056586087290646,4.056586086796585,4.0565860863677905,4.0565860859856
40.2,4.051700018716549,4.051700021931237,4.051700025338804,4.051700028296317,4.051700030932363
40.4,4.114214367126689,4.114214364374188,4.114214361456525,4.1142143589242135,4.11421435666715
40.6,4.1190185046852354,4.119018500115468,4.119018495271507,4.119018491067319,4.119018487320109
40.8,4.0280109516875,4.028010951434503,4.028010951166321,4.028010950933554,4.028010950726087
41.0,3.931698896569647,3.9316988996154216,3.931698902843944,3.931698905646058,3.9316989081435954
41.2,3.8992457871972626,3.8992457789013018,3.899245770107587,3.8992457624753034,3.8992457556726166
41.4,3.692856251791262,3.6928562600911645,3.692856268889071,3.6928562765249833,3.692856283330909
41.6,3.6604859323861523,3.6604859344935092,3.660485936727309,3.660485938666079,3.6604859403941146
41.8,3.672299364548595,3.6722993631636744,3.6722993616956674,3.672299360421545,3.6722993592859137
42.0,3.655076063543539,3.655076058170781,3.655076052475654,3.6550760475327153,3.655076043127055
42.2,3.5252052913175125,3.52520529253896,3.5252052938336966,3.525205294957425,3.525205295959009
42.4,3.4209438378937285,3.4209438352310304,3.4209438324085633,3.4209438299588806,3.42094382777547
42.6,3.2608551615937027,3.260855169370972,3.2608551776148773,3.2608551847699676,3.2608551911473294
42.8,3.263827868187651,3.263827867808717,3.2638278674070533,3.263827867058434,3.263827866747709
43.0,3.2588556938334046,3.2588556915294578,3.2588556890872766,3.258855686967652,3.258855685078424
43.2,3.205578134021508,3.2055781329515245,3.2055781318173415,3.20557813083296,3.2055781299555757
43.4,3.129866895609555,3.129866892839358,3.1298668899029467,3.1298668873543667,3.129866885082808
43.6,2.996074581291052,2.9960745867162255,2.996074592466918,2.996074597458076,2.996074601906716
43.8,2.9760286683179626,2.976028670892537,2.97602867362159,2.9760286759901997,2.9760286781013514
44.0,3.0099623767158796,3.0099623703997205,3.009962363704598,3.0099623578937353,3.0099623527144908
44.2,2.9114690533092307,2.9114690525400895,2.9114690517247976,2.911469051017188,2.91146905038649
44.4,2.7968496289297207,2.7968496312175635,2.7968496336426787,2.7968496357474955,2.796849637623529
44.6,2.7301980440607077,2.730198042305286,2.730198040444534,2.730198038829545,2.730198037390102
44.8,2.6267415482935506,2.626741548871052,2.626741549483208,2.626741550014511,2.6267415504880636
45.0,2.535393227693259,2.5353932304693405,2.5353932334119924,2.535393235965993,2.5353932382423863
45.2,2.5022494389167957,2.5022494408857643,2.5022494429728654,2.5022494447843107,2.5022494463988583
45.4,2.510387748224012,2.5103877379726027,2.5103877271061115,2.5103877176748206,2.510387709268671
45.6,2.3035909377554,2.3035909455223957,2.303590953755399,2.3035909609010257,2.3035909672699564
45.8,2.259639949145634,2.259639946216965,2.2596399431125778,2.2596399404182055,2.259639938016702
46.0,2.15428533618996,2.1542853379430835,2.154285339801398,2.154285341414277,2.154285342851844
46.2,2.085687573355483,2.0856875753613693,2.0856875774875987,2.085687579333011,2.085687580977834
46.4,2.059146016606974,2.0591460189460906,2.059146021425553,2.0591460235775405,2.05914602549562
46.6,2.0816473394630814,2.081647338476613,2.0816473374309585,2.081647336523407,2.081647335714506
46.8,2.0834659444928945,2.083465943492211,2.083465942431486,2.083465941510859,2.083465940690296
47.0,2.064303851029055,2.064303851981814,2.0643038529917455,2.064303853868283,2.0643038546495474
47.2,2.065117740658999,2.0651177394480285,2.0651177381643993,2.065117737050302,2.0651177360573048
47.4,2.040541892057775,2.040541890522102,2.040541888894284,2.040541887481462,2.040541886222207
47.6,1.9837684368236244,1.9837684309401526,1.9837684247036715,1.9837684192908764,1.9837684144664298
47.8,1.8036397262350632,1.8036397334301526,1.8036397410569434,1.803639747676422,1.8036397535763928
48.0,1.7743661002725915,1.7743661019182637,1.7743661036626777,1.7743661051766952,1.7743661065261456
48.2,1.7795963463697209,1.7795963150898682,1.7795962819331972,1.7795962531557088,1.7795962275062123
48.4,1.1290078593718065,1.1290000007180334,1.1290000006515684,1.1290000006515697,1.1290000006515697
48.6,1.1290164304549704,1.1290000007923122,1.129000000651578,1.1290000006515701,1.1290000006515697
48.8,1.1290314021967627,1.1290000009264072,1.1290000006515644,1.1290000006515704,1.1290000006515701
49.0,1.1290565837733277,1.1290000011612464,1.1290000006515815,1.1290000006515706,1.1290000006515708
49.2,1.1290976365385603,1.1290000015629043,1.1290000006515752,1.129000000651571,1.129000000651571
49.4,1.1291627902383725,1.1290000022364581,1.1290000006515837,1.129000000651571,1.1290000006515715
49.6,1.129263757704283,1.1290000033471865,1.1290000006515888,1.1290000006515717,1.1290000006515717
49.8,1.1294168719151234,1.1290000051521965,1.1290000006516192,1.129000000651572,1.1290000006515717
50.0,1.1296444598225985,1.1290000080471936,1.1290000006516063,1.1290000006515726,1.129000000651572
50.2,1.1299764522442761,1.1290000126354804,1.1290000006516954,1.1290000006515728,1.1290000006515726
50.4,1.1304522079542254,1.1290000198280905,1.1290000006517027,1.129000000651573,1.1290000006515728
50.6,1.131122503002373,1.1290000309886359,1.1290000006518413,1.1290000006515737,1.1290000006515732
50.8,1.13205160428262,1.1290000481405107,1.129000000651974,1.129000000651574,1.1290000006515737
51.0,1.1333193114789466,1.1290000742610709,1.1290000006522107,1.1290000006515741,1.129000000651574
51.2,1.1350228168465775,1.129000113695906,1.129000000652605,1.1290000006515746,1.1290000006515744
51.4,1.1372782018843555,1.1290001727373278,1.129000000653174,1.1290000006515748,1.1290000006515741
51.6,1.1402213685295028,1.1290002604259368,1.1290000006540741,1.1290000006515748,1.1290000006515748
51.8,1.1440081949174088,1.1290003896521494,1.1290000006554752,1.1290000006515755,1.1290000006515752
