Z1[L],C1[M L^-3],Z2[L],C2[M L^-3],Z3[L],C3[M L^-3],Z4[L],C4[M L^-3],Z5[L],C5[M L^-3]
49.267,2843.516,47.723,3206.15,47.438,2988.123,45.712,3554.954,52.264,2568.871
49.318,2841.142,47.805,3142.593,47.466,2995.79,46.075,3529.308,52.43,2572.246
49.452,2845.59,47.862,3121.249,47.504,2986.299,46.435,3307.083,52.572,2576.104
49.653,2854.213,48.066,2990.789,47.614,2996.485,46.68,3286.023,52.776,2578.511
49.845,2855.373,48.2,2940.299,47.708,3001.688,47.057,3205.795,52.997,2585.88
50.129,2858.65,48.429,2845.135,47.792,2938.744,47.32,3201.301,53.289,2597.734
50.243,2859.876,48.498,2811.973,47.911,2888.211,47.602,3027.114,53.59,2606.501
50.149,2860.638,48.625,2762.969,48.032,2753.398,47.805,2926.031,53.81,2617.346
50.184,2865.203,48.721,2740.422,48.162,2689.392,48.042,2890.801,54.117,2622.021
50.301,2862.865,48.797,2735.706,48.276,2658.5,48.34,2804.716,54.424,2623.867
50.522,2879.108,48.935,2746.415,48.381,2667.595,48.386,2752.465,54.834,2624.597
50.764,2931.419,48.988,2747.646,48.468,2680.12,48.557,2689.751,55.179,2624.54
50.986,2954.514,49.145,2745.724,48.525,2685.6,48.71,2628.58,55.236,2623.784
51.252,2970.639,49.267,2741.542,48.557,2686.934,48.877,2617.843,55.323,2624.439
51.464,2971.596,49.422,2741.287,48.709,2692.825,49.078,2628.136,55.536,2623.422
51.733,2976.252,49.525,2742.702,48.842,2696.19,49.301,2601.839,55.647,2623.172
51.886,2979.591,49.613,2745.067,48.932,2699.761,49.538,2605.339,55.732,2622.464
52.159,3027.958,49.671,2744.751,49.079,2691.791,49.662,2605.519,55.849,2622.35
52.407,3113.165,49.769,2746.632,49.118,2676.335,49.784,2607.64,55.856,2622.095
52.651,3123.36,49.892,2745.021,49.218,2673.698,49.941,2605.517,55.871,2622.619
52.891,3128.411,49.989,2745.489,49.331,2669.964,50.083,2609.147,56.083,2622.618
53.16,3133.618,50.119,2745.074,49.371,2667.643,50.221,2616.167,56.255,2621.476
53.355,3139.467,50.211,2743.833,49.435,2667.438,50.407,2617.756,56.421,2621.493
53.563,3156.308,50.288,2741.969,49.526,2666.4,50.618,2617.529,56.588,2621.192
53.735,3180.813,50.401,2742.503,49.672,2667.705,50.811,2617.645,56.721,2621.071
53.908,3210.746,50.513,2751.61,49.798,2666.924,50.992,2617.307,56.954,2620.904
53.806,3186.352,50.599,2763.093,49.865,2667.62,51.162,2617.478,57.17,2620.977
53.994,3235.14,50.755,2763.438,49.962,2666.534,51.285,2619.627,57.318,2622.004
54.07,3246.675,50.87,2765.128,50.082,2666.925,51.487,2617.606,57.47,2622.34
54.25,3315.319,50.997,2766.545,50.164,2664.567,51.634,2618.121,57.487,2621.844
54.434,3344.647,51.078,2767.272,50.18,2663.995,51.796,2623.782,57.604,2621.108
54.636,3369.637,51.165,2768.189,50.265,2661.385,52.035,2632.757,57.82,2619.434
54.738,3380.104,51.293,2770.118,50.383,2659.05,52.218,2635.127,58.021,2622.067
54.84,3391.984,51.436,2770.637,50.464,2658.883,52.529,2635.696,58.124,2621.333
55.058,3443.234,51.583,2770.245,50.476,2658.479,52.789,2633.887,58.234,2621.262
55.267,3483.371,51.719,2770.376,50.491,2657.693,52.941,2633.508,58.344,2621.28
55.47,3530.26,51.785,2770.021,50.528,2658.429,53.175,2633.563,58.502,2622.649
55.629,3568.064,51.897,2770.917,50.742,2661.459,53.421,2633.307,58.705,2622.8
55.847,3682.805,51.99,2770.208,50.926,2663.566,53.67,2625.503,58.955,2623.285
56.126,3810.713,52.096,2773.316,50.948,2664.082,53.943,2630.316,59.243,2617.799
56.227,3846.842,52.15,2781.191,50.955,2663.841,54.182,2626.89,59.436,2617.43
56.236,3850.344,52.344,2786.132,50.901,2667.436,54.315,2627.448,59.535,2617.538
56.267,3880.959,52.454,2795.77,50.96,2667.671,54.519,2628.562,59.752,2617.75
56.384,3950.764,52.622,2796.274,51.022,2665.458,54.806,2629.317,59.98,2625.461
56.59,3974.732,52.827,2800.213,51.109,2662.915,55.05,2629.406,60.08,2625.807
56.832,4127.306,52.966,2804.351,51.207,2664.867,55.259,2638.021,60.269,2624.493
57.052,4344.875,53.012,2803.975,51.3,2664.291,55.485,2640.709,60.429,2624.53
57.237,4370.846,53.105,2800.953,51.352,2667.705,55.609,2640.267,60.566,2627.044
57.434,4603.481,53.186,2802.972,51.435,2678.049,55.835,2643.565,60.66,2627.669
57.667,4782.408,53.245,2801.886,51.474,2678.031,56.011,2648.252,60.842,2629.466
57.84,4814.429,53.374,2805.348,51.493,2677.192,56.222,2648.307,60.91,2630.773
57.873,4839.38,53.519,2806.098,51.625,2681.99,56.396,2653.724,61.107,2633.578
57.907,4917.492,53.66,2811.192,51.757,2684.324,56.64,2652.492,61.273,2634.81
58.001,4943.43,53.711,2810.058,51.897,2683.958,56.788,2654.647,61.458,2629.158
58.181,4956.01,53.857,2810.702,52.011,2686.7,57.032,2659.397,61.585,2631.602
58.45,5026.843,53.98,2812.252,52.043,2687.225,57.165,2660.175,61.738,2640.349
58.72,5039.509,54.089,2811.971,52.094,2686.764,57.379,2663.11,61.94,2641.054
59.012,5084.622,54.235,2816.776,52.131,2687.865,57.556,2669.234,62.123,2643.763
59.263,5081.498,54.299,2818.101,52.229,2690.148,57.712,2671.543,62.262,2640.928
59.543,5104.281,54.421,2818.893,52.293,2689.406,57.931,2669.99,62.386,2640.537
59.83,5106.683,54.557,2817.548,52.311,2688.956,58.083,2667.1,62.539,2636.629
60.138,5105.48,54.657,2816.826,52.352,2689.695,58.332,2672.592,62.665,2641.853
60.371,5110.449,54.765,2818.841,52.525,2686.407,58.439,2674.959,62.729,2642.916
60.591,5112.436,54.902,2817.792,52.663,2688.821,58.662,2679.607,62.865,2643.663
60.602,5111.847,55.006,2821.425,52.765,2689.547,58.754,2680.12,62.981,2644.755
60.628,5111.958,55.065,2823.188,52.805,2701.244,58.989,2676.631,63.131,2644.461
60.655,5111.501,55.147,2821.007,52.881,2701.99,59.143,2680.222,63.248,2645.329
60.704,5112.697,55.219,2823.156,53.017,2703.58,59.443,2677.309,63.435,2641.099
60.898,5115.173,55.303,2824.783,53.14,2708.363,59.696,2676.159,63.554,2640.488
61.195,5114.284,55.36,2827.16,53.248,2707.834,59.885,2674.183,63.613,2642.297
61.478,5112.267,55.429,2825.134,53.321,2707.026,60.179,2678.945,63.711,2639.854
61.567,5113.039,55.498,2829.836,53.418,2711.567,60.305,2679.025,63.748,2640.214
61.583,5112.786,55.555,2830.61,53.507,2716.068,60.553,2682.159,63.816,2640.327
61.86,5112.239,55.62,2832.553,53.624,2715.36,60.729,2682.668,63.938,2641.199
62.14,5111.385,55.666,2833.043,53.725,2717.783,60.953,2682.188,64.05,2646.208
