Z1[L],C1[M L^-3],Z2[L],C2[M L^-3],Z3[L],C3[M L^-3],Z4[L],C4[M L^-3],Z5[L],C5[M L^-3]
87.607,9610.178,69.97,4969.964,63.695,2804.409,88.744,4963.673,93.74,4959.147
87.716,9574.833,70.071,4973.235,63.684,2804.36,88.976,4969.236,93.903,4944.866
87.814,9514.675,70.154,4972.778,63.759,2805.799,89.133,4965.381,93.916,4941.14
87.897,9284.361,70.276,4975.204,63.786,2805.422,89.213,4972.256,,
88.203,8738.678,70.325,4976.483,63.88,2808.495,89.353,4969.526,,
88.37,7994.327,70.406,4979.051,63.921,2806.675,89.545,4975.677,,
88.554,7354.855,70.532,4982.684,63.95,2807.248,89.64,4974.686,,
88.768,7342.281,70.664,4984.948,63.992,2807.313,89.828,4977.898,,
89.015,6881.336,70.764,4987.91,64.029,2807.71,89.961,4977.404,,
89.107,6973.48,70.855,4990.467,64.096,2808.008,90.2,4985.105,,
89.318,7164.57,70.998,4994.247,64.189,2810.694,90.351,4982.332,,
89.611,6236.024,71.087,4997.207,64.29,2811.521,90.451,4984.374,,
89.65,5873.498,71.131,4996.696,64.304,2815.705,90.674,4985.344,,
89.862,5528.622,71.268,5003.205,64.312,2815.065,90.878,4985.005,,
89.895,5601.48,71.351,5003.038,64.319,2814.264,90.988,4981.716,,
90.153,4955.663,71.464,5005.572,64.341,2814.603,91.203,4983.397,,
90.225,4909.448,71.562,5006.048,64.375,2814.921,91.328,4982.199,,
90.535,4800.18,71.689,5003.226,64.375,2813.039,91.517,4983.599,,
90.661,4793.546,71.778,5005.837,64.383,2812.666,91.664,4982.496,,
90.922,4598.308,71.94,5004.211,64.421,2812.741,91.841,4982.037,,
91.031,4293.114,72.029,5006.665,64.434,2813.968,92.071,4977.94,,
91.303,3830.964,72.164,5007.212,64.461,2812.891,92.204,4973.644,,
91.574,3870.85,72.307,5006.843,64.521,2812.726,92.305,4974.369,,
91.793,3410.849,72.408,5006.79,64.614,2814.934,92.454,4970.24,,
92.043,3330.294,72.533,5008.989,64.669,2814.636,92.556,4965.1,,
92.134,3223.621,72.6,5006.823,64.778,2811.406,92.839,4965.341,,
92.313,2868.463,72.684,5008.871,64.792,2811.121,92.973,4956.197,,
92.427,2768.048,72.791,5008.259,64.91,2811.06,93.151,4950.104,,
92.717,2597.018,72.901,5007.077,64.952,2811.669,93.24,4937.949,,
92.967,2522.067,72.974,5006.074,65.036,2809.11,93.355,4936.165,,
93.194,2495.161,73.101,5006.624,65.25,2816.42,93.432,4937.268,,
93.485,2492.998,73.208,5007.693,65.404,2819.992,93.569,4936.747,,
93.621,2407.133,73.288,5007.724,65.457,2815.931,93.665,4935.892,,
93.759,2407.962,73.399,5007.439,65.55,2817.664,93.767,4925.937,,
93.798,2405.097,73.471,5007.775,65.671,2818.981,93.834,4922.72,,
93.805,2406.848,73.573,5005.262,65.763,2821.358,93.875,4922.122,,
93.801,2406.105,73.66,5007.608,65.837,2821.771,93.869,4921.925,,
93.801,2407.345,73.746,5006.573,65.945,2818.49,93.87,4920.424,,
93.8,2407.776,73.847,5004.105,66.041,2815.855,93.867,4921.806,,
93.797,2407.675,73.925,5003.335,66.185,2820.208,93.869,4919.995,,
93.8,2407.395,74.042,5004.571,66.311,2825.978,93.872,4921.485,,
93.806,2406.918,74.122,5003.951,66.408,2830.837,93.877,4920.959,,
93.65,2411.842,74.266,5003.09,66.479,2827.832,,,,
93.351,2448.042,74.371,5000.951,66.537,2830.964,,,,
,,74.49,5002.612,66.594,2829.097,,,,
,,74.642,5000.607,66.664,2831.249,,,,
,,74.761,4999.907,66.72,2832.997,,,,
,,74.863,4996.915,66.84,2829.419,,,,
,,75,4998.629,66.914,2832.105,,,,
,,75.132,4995.452,67.056,2831.416,,,,
,,75.247,4994.683,67.215,2839.287,,,,
,,75.345,4993.193,67.359,2842.9,,,,
,,75.489,4992.311,67.456,2847.4,,,,
,,75.604,4989.086,67.549,2844.622,,,,
,,75.671,4991.429,67.675,2844.992,,,,
,,75.8,4989.158,67.776,2847.744,,,,
,,75.927,4987.404,67.881,2847.486,,,,
,,76.055,4985.716,67.967,2851.928,,,,
,,76.219,4977.066,68.173,2852.432,,,,
,,76.315,4972.525,68.272,2850.894,,,,
,,76.474,4967.617,68.314,2859.976,,,,
,,76.544,4964.521,68.481,2852.719,,,,
,,76.708,4969.139,68.568,2852.986,,,,
,,76.811,4957.436,68.706,2852.179,,,,
,,76.968,4964.643,68.923,2849.879,,,,
,,77.165,4955.192,69.065,2865.59,,,,
,,77.279,4958.271,69.222,2857.075,,,,
,,77.406,4958.045,69.33,2872.591,,,,
,,77.533,4952.227,69.444,2870.496,,,,
,,77.641,4948.323,69.586,2870.463,,,,
,,77.781,4942.551,69.704,2884.952,,,,
,,77.844,4938.751,69.858,2893.266,,,,
,,77.957,4936.102,70.038,2899.898,,,,
,,78.102,4933.37,70.207,2908.393,,,,
,,78.237,4933.326,70.417,2910.051,,,,
,,78.371,4928.689,70.529,2917.427,,,,
,,78.464,4925.645,70.584,2923.75,,,,
,,78.625,4921,70.565,2929.673,,,,
,,78.795,4912.377,70.732,2916.799,,,,
,,78.986,4907.294,70.825,2920.052,,,,
,,79.083,4899.554,71.002,2945.259,,,,
,,79.209,4899.134,71.057,2942.74,,,,
,,79.335,4891.563,71.286,2950.042,,,,
,,79.435,4891.271,71.378,2958.208,,,,
,,79.545,4888.985,71.52,2967.026,,,,
,,79.696,4886.038,71.617,2972.405,,,,
,,79.971,4874.942,71.693,2984.12,,,,
,,80.1,4873.085,71.734,2986.788,,,,
,,80.306,4865.98,71.774,2988.272,,,,
,,80.426,4865.716,71.842,2994.355,,,,
,,80.553,4853.616,71.901,3009.479,,,,
,,80.715,4849.318,71.947,3013.183,,,,
,,80.852,4850.618,72.151,3039.73,,,,
,,80.996,4850.568,72.25,3048.33,,,,
,,81.094,4851.14,72.367,3048.117,,,,
,,81.209,4844.664,72.416,3049.541,,,,
,,81.347,4848.314,72.441,3052.413,,,,
,,81.421,4843.359,72.472,3052.195,,,,
,,81.551,4840.693,72.642,3054.321,,,,
,,81.671,4838.395,72.785,3073.147,,,,
,,81.752,4840.234,72.851,3082.316,,,,
,,81.864,4838.196,72.913,3083.328,,,,
,,82.01,4835.636,73.014,3089.625,,,,
,,82.125,4833.729,73.068,3117.854,,,,
,,82.278,4830.425,73.125,3128.88,,,,
,,82.367,4828.624,73.192,3131.488,,,,
,,82.532,4824.728,73.26,3132.468,,,,
,,82.681,4821.509,73.393,3145.541,,,,
,,82.83,4822.887,73.582,3179.41,,,,
,,82.971,4821.787,73.694,3182.45,,,,
,,83.109,4817.299,73.805,3187.557,,,,
,,83.263,4815.992,73.806,3188.054,,,,
,,83.349,4817.726,73.84,3190.05,,,,
,,83.533,4818.852,73.934,3199.129,,,,
,,83.654,4814.226,74.071,3218.157,,,,
,,83.749,4817.584,74.204,3239.249,,,,
,,83.88,4815.785,74.283,3241.72,,,,
,,84.024,4814.981,74.354,3248.203,,,,
,,84.178,4819.979,74.423,3249.534,,,,
,,84.234,4815.997,74.487,3260.37,,,,
,,84.366,4815.232,74.579,3280.026,,,,
,,84.496,4817.075,74.693,3300.856,,,,
,,84.686,4820.086,74.857,3306.836,,,,
,,84.808,4820.33,74.95,3322.613,,,,
,,84.968,4823.005,75.057,3342.54,,,,
,,85.11,4817.919,75.241,3364.264,,,,
,,85.219,4821.012,75.371,3399.482,,,,
,,85.36,4818.751,75.508,3437.99,,,,
,,85.483,4818.122,75.555,3453.774,,,,
,,85.61,4816.467,75.62,3458.417,,,,
,,85.828,4823.995,75.787,3481.469,,,,
,,86.006,4835.383,75.877,3506.344,,,,
,,86.17,4846.863,75.911,3511.982,,,,
,,86.3,4846.642,76.019,3556.972,,,,
,,86.493,4847.96,76.1,3572.319,,,,
,,86.653,4850.865,76.147,3595.939,,,,
,,86.734,4861.817,76.212,3601.685,,,,
,,86.906,4859.269,76.282,3615.432,,,,
,,87.025,4867.805,76.387,3626.007,,,,
,,87.249,4922.392,76.421,3664.122,,,,
,,87.401,4940.214,76.471,3675.565,,,,
,,87.553,5012.505,76.633,3683.905,,,,
,,87.695,5181.419,76.68,3712.345,,,,
,,87.811,5328.732,76.703,3715.074,,,,
,,87.898,5515.93,76.709,3715.999,,,,
,,88.058,5890.496,76.795,3769.287,,,,
,,88.203,6380.329,76.842,3781.82,,,,
,,88.361,7197.585,76.917,3816.44,,,,
,,88.48,7437.294,77.02,3830.576,,,,
,,88.663,7609.4,77.101,3835.995,,,,
,,88.812,7681.678,77.165,3838.287,,,,
,,88.96,7726.509,77.245,3845.834,,,,
,,89.071,7834.145,77.333,3882.032,,,,
,,89.218,7858.427,77.426,3892.758,,,,
,,89.328,7873.93,77.458,3973.922,,,,
,,89.514,7923.291,77.507,3995.681,,,,
,,89.654,7934.868,77.616,3995.917,,,,
,,89.765,7961.028,77.768,4101.052,,,,
,,89.987,8077.908,77.902,4203.116,,,,
,,90.186,8285.128,77.943,4230.313,,,,
,,90.285,8362.548,77.997,4232.821,,,,
,,90.446,8736.739,78.09,4244.255,,,,
,,90.554,9237.193,78.181,4266.23,,,,
,,90.654,9712.444,78.278,4335.25,,,,
,,90.74,10331.271,78.375,4381.873,,,,
,,90.848,13755.239,78.494,4422.515,,,,
,,90.946,15151.583,78.532,4508.263,,,,
,,91.119,15766.733,78.57,4507.747,,,,
,,91.217,16063.41,78.65,4526.046,,,,
,,91.349,16275.616,78.759,4570.344,,,,
,,91.497,16235.222,78.928,4609.151,,,,
,,91.658,16271.83,79.071,4640.256,,,,
,,91.758,16120.456,79.241,4756.677,,,,
,,91.874,16008.324,79.266,4761.976,,,,
,,92.07,15869.283,79.343,4772.641,,,,
,,92.135,15893.31,79.49,4782.555,,,,
,,92.196,15932.851,79.758,4820.137,,,,
,,92.376,15833.421,79.863,4854.896,,,,
,,92.501,15730.379,79.979,4857.473,,,,
,,92.66,15303.097,80.124,4884.737,,,,
,,92.802,14666.369,80.197,4915.341,,,,
,,92.982,14557.378,80.32,4922.319,,,,
,,93.086,14366.313,80.373,4928.227,,,,
,,93.174,14296.844,80.478,4930.843,,,,
,,93.3,14103.196,80.537,4932.435,,,,
,,93.46,14176.12,80.687,4935.093,,,,
,,93.586,13929.075,80.759,4938.892,,,,
,,93.707,13887.599,80.853,4942.144,,,,
,,93.783,13735.965,81.007,4964.115,,,,
,,93.796,13757.65,81.066,4967.731,,,,
,,93.791,13773.944,81.084,4966.863,,,,
,,93.798,13761.321,81.175,4970.094,,,,
,,93.804,13758.045,81.278,4977.665,,,,
,,93.793,13761.282,81.376,4976.596,,,,
,,93.789,13760.344,81.398,4981.089,,,,
,,93.792,13757.007,81.495,4984.998,,,,
,,93.794,13755.158,81.564,4983.759,,,,
,,93.792,13756.935,81.591,4986.084,,,,
,,93.794,13759.69,81.749,4983.427,,,,
,,93.794,13754.661,81.873,4985.36,,,,
,,93.791,13758.043,81.935,4986.307,,,,
,,93.794,13758.931,81.909,4988.292,,,,
,,93.791,13764.428,81.937,4986.494,,,,
,,93.795,13768.236,81.98,4986.489,,,,
,,93.802,13777.887,82.097,4988.223,,,,
,,93.788,13797.966,82.279,4987.575,,,,
,,93.791,13809.683,82.435,4988.36,,,,
,,93.804,13820.24,82.553,4991.472,,,,
,,93.79,13818.764,82.615,4991.832,,,,
,,93.803,13825.962,82.637,4988.868,,,,
,,93.791,13826.964,82.691,4989.998,,,,
,,93.794,13831.658,82.789,4990.731,,,,
,,93.801,13835.215,82.949,4992.742,,,,
,,93.803,13846.153,83.006,4992.568,,,,
,,,,83.152,4991.082,,,,
,,,,83.258,4992,,,,
,,,,83.222,4991.272,,,,
,,,,83.272,4991.942,,,,
,,,,83.318,4991.692,,,,
,,,,83.416,4991.795,,,,
,,,,83.473,4992.799,,,,
,,,,83.544,4992.165,,,,
,,,,83.606,4991.076,,,,
,,,,83.74,4992.04,,,,
,,,,83.838,4992.403,,,,
,,,,83.964,4991.988,,,,
,,,,84.052,4990.509,,,,
,,,,84.089,4988.722,,,,
,,,,84.152,4992.278,,,,
,,,,84.201,4992.312,,,,
,,,,84.228,4991.281,,,,
,,,,84.278,4990.529,,,,
,,,,84.268,4991.328,,,,
,,,,84.356,4990.555,,,,
,,,,84.528,4989.631,,,,
,,,,84.686,4990.271,,,,
,,,,84.728,4989.686,,,,
,,,,84.79,4992.013,,,,
,,,,84.865,4988.746,,,,
,,,,84.906,4986.9,,,,
,,,,84.915,4986.151,,,,
,,,,84.912,4988.083,,,,
,,,,85.114,4983.021,,,,
,,,,85.432,4982.278,,,,
,,,,85.456,4981.193,,,,
,,,,85.559,4978.968,,,,
,,,,85.649,4979.963,,,,
,,,,85.5,4983.041,,,,
,,,,85.545,4981.176,,,,
,,,,85.539,4980.225,,,,
,,,,85.599,4978.611,,,,
,,,,85.725,4980.042,,,,
,,,,85.885,4980.318,,,,
,,,,86.116,4977.266,,,,
,,,,86.157,4977.261,,,,
,,,,86.186,4977.257,,,,
,,,,86.211,4977.022,,,,
,,,,86.219,4977.418,,,,
,,,,86.228,4975.605,,,,
,,,,86.216,4977.056,,,,
,,,,86.221,4975.575,,,,
,,,,86.273,4972.39,,,,
,,,,86.296,4973.657,,,,
,,,,86.387,4975.905,,,,
,,,,86.537,4973.605,,,,
,,,,86.742,4968.941,,,,
,,,,86.906,4965.497,,,,
,,,,86.95,4963.93,,,,
,,,,86.998,4964.184,,,,
,,,,86.997,4963.383,,,,
,,,,87.002,4964.7,,,,
,,,,87.018,4963.847,,,,
,,,,87.031,4963.619,,,,
,,,,87.048,4960.809,,,,
,,,,87.173,4959.106,,,,
,,,,87.302,4960.345,,,,
,,,,87.614,4951.947,,,,
,,,,87.706,4952.473,,,,
,,,,87.764,4948.339,,,,
,,,,87.845,4950.387,,,,
,,,,87.903,4950.578,,,,
,,,,87.928,4948.625,,,,
,,,,87.979,4949.067,,,,
,,,,88.093,4945.505,,,,
,,,,88.209,4943.312,,,,
,,,,88.315,4939.022,,,,
,,,,88.316,4940.72,,,,
,,,,88.306,4941.702,,,,
,,,,88.366,4940.755,,,,
,,,,88.468,4939.896,,,,
,,,,88.534,4938.537,,,,
,,,,88.608,4934.092,,,,
,,,,88.779,4932.531,,,,
,,,,88.845,4925.21,,,,
,,,,88.904,4922.863,,,,
,,,,88.821,4930.481,,,,
,,,,88.911,4927.08,,,,
,,,,89.084,4922.639,,,,
,,,,89.385,4910.762,,,,
,,,,89.559,4912.712,,,,
,,,,89.711,4914.179,,,,
,,,,89.87,4903.586,,,,
,,,,90.049,4902.546,,,,
,,,,90.194,4899.308,,,,
,,,,90.324,4901.107,,,,
,,,,90.445,4896.14,,,,
,,,,90.517,4894.761,,,,
,,,,90.648,4889.699,,,,
,,,,90.835,4885.557,,,,
,,,,91.003,4882.461,,,,
,,,,91.053,4878.835,,,,
,,,,91.121,4878.021,,,,
,,,,91.239,4879.815,,,,
,,,,91.287,4875.089,,,,
,,,,91.398,4875.722,,,,
,,,,91.51,4878.089,,,,
,,,,91.554,4877.887,,,,
,,,,91.57,4875.775,,,,
,,,,91.688,4871.69,,,,
,,,,91.82,4866.854,,,,
,,,,91.959,4862.882,,,,
,,,,92.319,4862.599,,,,
,,,,92.551,4856.052,,,,
,,,,92.644,4856.696,,,,
,,,,92.874,4854.856,,,,
,,,,93.093,4859.045,,,,
,,,,93.272,4874.326,,,,
,,,,93.291,4981.124,,,,
,,,,93.294,4983.504,,,,
